"attribute","start_date_time","end_date_time","agency_id","route_id","route_type","trip_id","stop_id","effect","cause","language","header","details","url"
7523,1682114400,1713650400,"","","","264058143,264058168","","MODIFIED_SERVICE","OTHER_CAUSE",de,"","Linientaxi: begrenztes Platzangebot",""
7523,1682114400,1713650400,"","","","264058143,264058168","","MODIFIED_SERVICE","OTHER_CAUSE",en,"","service taxi: limited space available",""
8216,1682114400,1713650400,"","14253","","","","MODIFIED_SERVICE","OTHER_CAUSE",de,"","Ruftaxi: verkehrt nur bei Anmeldung bis 60 Minuten vor Abfahrt unter Tel. 05031 17565",""
8216,1682114400,1713650400,"","14253","","","","MODIFIED_SERVICE","OTHER_CAUSE",en,"","taxi on call: runs only if notified up to 60 minutes before departure on tel +49 (0)5031 17565",""
8556,1682114400,1713650400,"","","","282834013,282834014,282834015,282834016,282834017,282834026,282834027,282834028,282834029,282834030,282834031,282834083,282834084,282834085,282834086,282834095,282834096,282834097,282834098,282834099,282834100,282834101,282834788,282834789,282834790,282834791,282834792,282834793,282834886,282834887,282834888,282834889,282834890,282834891,282836097,282836098,282836099,282836100,282836101,282836102,282836103,282836104,282836204,282836205,282836206,282836207,282836208,282836209,282836210,282836211,282836605,282836606,282836607,282836610,282836611,282836612,282836710,282836711,282836712,282836713,282836714,282836715,282837038,282837039,282837040,282837041,282837042,282837043,282837044,282837045,282837159,282837160,282837161,282837162,282837163,282837164,282837165,282837166","","MODIFIED_SERVICE","OTHER_CAUSE",de,"","Ruftaxi: verkehrt nur bei Anmeldung bis 30 Minuten vor Abfahrt unter Tel. 0511 8484",""
8556,1682114400,1713650400,"","","","282834013,282834014,282834015,282834016,282834017,282834026,282834027,282834028,282834029,282834030,282834031,282834083,282834084,282834085,282834086,282834095,282834096,282834097,282834098,282834099,282834100,282834101,282834788,282834789,282834790,282834791,282834792,282834793,282834886,282834887,282834888,282834889,282834890,282834891,282836097,282836098,282836099,282836100,282836101,282836102,282836103,282836104,282836204,282836205,282836206,282836207,282836208,282836209,282836210,282836211,282836605,282836606,282836607,282836610,282836611,282836612,282836710,282836711,282836712,282836713,282836714,282836715,282837038,282837039,282837040,282837041,282837042,282837043,282837044,282837045,282837159,282837160,282837161,282837162,282837163,282837164,282837165,282837166","","MODIFIED_SERVICE","OTHER_CAUSE",en,"","taxi on call: runs only if notified up to 30 minutes before departure on tel +49 (0)511 8484",""
9051,1682114400,1713650400,"","","","274717489,274717498","","MODIFIED_SERVICE","OTHER_CAUSE",de,"","Ruf-mich-Bus: verkehrt nur bei Anmeldung bis Freitag 16:00 Uhr unter Tel. 05933 1844",""
9051,1682114400,1713650400,"","","","274717489,274717498","","MODIFIED_SERVICE","OTHER_CAUSE",en,"","call-me bus: runs only if notified up to Friday 6.00 p.m. on tel +49 (0)5933 1844",""
9810,1682114400,1713650400,"","","","282514869,282515101,282515141,282515144,282515145,282515146,282515147,282515171,282515172,282515173,282515450,282515451,282515465,282515468,282515469,282515470,282515471,282515472,282515473,282515474,282515475,282515476,282515487,282515488,282515489,282515504,282515505,282515506,282515507,282515508,282515509,282515510,282515511,282517262,282517263,282517264,282517265,282517266,282517276,282517277,282517278,282517279,282517280,282517281,282517300,282517301,282517302,282517303,282517304,282517314,282517315,282517316,282517317,282517318,282517319","","MODIFIED_SERVICE","OTHER_CAUSE",de,"","Kleinbus: begrenztes Platzangebot, Gruppenmitnahme nur bei rechtzeitiger Anmeldung unter Tel. 05341 40990",""
9810,1682114400,1713650400,"","","","282514869,282515101,282515141,282515144,282515145,282515146,282515147,282515171,282515172,282515173,282515450,282515451,282515465,282515468,282515469,282515470,282515471,282515472,282515473,282515474,282515475,282515476,282515487,282515488,282515489,282515504,282515505,282515506,282515507,282515508,282515509,282515510,282515511,282517262,282517263,282517264,282517265,282517266,282517276,282517277,282517278,282517279,282517280,282517281,282517300,282517301,282517302,282517303,282517304,282517314,282517315,282517316,282517317,282517318,282517319","","MODIFIED_SERVICE","OTHER_CAUSE",en,"","minibus: limited number of seats, groups should notify in good time on tel +49 (0)5341 40990",""
